playoff_round,round_name,conference,slot,away,home,away_wins,home_wins,projected_winner,away_series_win_prob,home_series_win_prob,avg_remaining_games,projected_avg_games_in_series,projected_mean_games_in_series,projected_rounded_games_in_series,prob_series_goes_seven,projected_total_goals_series,projected_goals_per_game
4,Stanley Cup Final,,SCF,PHI,ANA,0,0,ANA,0.08416666666666667,0.9158333333333333,5.24,5.24,5.24,5,0.1558,38.6,7.36
4,Stanley Cup Final,,SCF,PHI,COL,0,0,COL,0.0625,0.9375,5.11,5.11,5.11,5,0.13,34.0,6.66
4,Stanley Cup Final,,SCF,PHI,DAL,0,0,DAL,0.12666666666666668,0.8733333333333333,5.32,5.32,5.32,5,0.1608,32.1,6.03
4,Stanley Cup Final,,SCF,PHI,EDM,0,0,EDM,0.2975,0.7025,5.77,5.77,5.77,6,0.3117,43.3,7.51
4,Stanley Cup Final,,SCF,PHI,LAK,0,0,PHI,0.5891666666666666,0.4108333333333334,5.72,5.72,5.72,6,0.2783,35.6,6.23
4,Stanley Cup Final,,SCF,PHI,MIN,0,0,MIN,0.17083333333333334,0.8291666666666666,5.54,5.54,5.54,6,0.2017,33.6,6.07
4,Stanley Cup Final,,SCF,PHI,UTA,0,0,UTA,0.15833333333333333,0.8416666666666667,5.48,5.48,5.48,5,0.2158,38.5,7.02
4,Stanley Cup Final,,SCF,PHI,VGK,0,0,VGK,0.4608333333333333,0.5391666666666667,5.77,5.77,5.77,6,0.2933,35.1,6.09
4,Stanley Cup Final,,SCF,PIT,ANA,0,0,PIT,0.6216666666666667,0.3783333333333333,5.81,5.81,5.81,6,0.3042,47.8,8.23
4,Stanley Cup Final,,SCF,PIT,COL,0,0,COL,0.25833333333333336,0.7416666666666667,5.64,5.64,5.64,6,0.2483,44.5,7.89
4,Stanley Cup Final,,SCF,PIT,DAL,0,0,DAL,0.465,0.5349999999999999,5.81,5.81,5.81,6,0.3125,43.7,7.53
4,Stanley Cup Final,,SCF,PIT,EDM,0,0,PIT,0.7658333333333334,0.23416666666666663,5.68,5.68,5.68,6,0.2825,46.3,8.16
